,bathrooms,bedrooms,rooms_total,building_size,car_spaces,category,furnished,location,land_size,price,id,subcategory,year_built,description,link
1323,2,2,4,155,2,casa,,"[-99.1072088,19.4232047]",220,5598720,HO5EF6C80A9E0BAMX,"[""casa"",""casa-en-condominio""]",2021,"Estrene casa En Jardin Balbuena de  155m2 de Construccion con las siguientes Caracteristicas: Planta Baja: Estacionamiento para 2 Autos, Bodega. 1 Nivel: Cocina integral (cubierta de granito), Comedor,  Sala,  Medio Baño,  Cuarto de Lavado,  Terraza. 2 Nivel: 2 Recamaras con terraza, la principal con baño.1  Baño con cristal templado, Roof Garden, Asador, Pérgola,  Barra,  Fregadero, Medio Baño. Pisos de loseta,  Lámparas,  Persianas, Iluminación led,  Cisterna,  Boiler, Tanque estacionario, Portones de garaje automatizado,  Buena iluminación,  Excelente distribución. Cerca del Viaducto y de Fray Servando.Previa cita para conocerlo; posesión inmediata. Se aceptan todos los créditos. No vendemos remates, vendemos inmuebles, no pedimos anticipos, ni apartados, ni enganches. Los inmuebles están sujetos a cambio de precio, sin previo aviso. Todo el proceso ante notario público.Somos una empresa fundada en 1985. Más de 5.000 inmuebles en comercialización-Inmuebles a crédito o de contado No se aceptan pagos en línea. EasyBroker ID: EB-FF1348",https://www.lamudi.com.mx/jardin-balbuena-casa-venta-venustiano-carranza-cdmx-1.html
1324,3,3,unknown,210,2,casa,,"[-99.08192,19.54383]",156,1265170,HO5F906F0A42A58MX,"[""casa"",""casa-unifamiliar""]",unknown,"Propiedad de remate bancario solamente recursos propios cuenta con sentencia definitiva a favor del banco, somos una empresa que ofrece consultoría especializada inmobiliaria, contamos con propiedades con hasta un 30% de bajo de su valor comercial. Contáctame para mayor información. Aftvrk-89",https://www.lamudi.com.mx/casa-en-trujillo-lindavista-sur-gustavo-a-madero-cdmx.html
1325,4,5,9,338,7,casa,,"[-99.2405782,19.3151043]",189,13500000,HO601DFAB548AD4MX,"[""casa"",""casa-en-condominio""]",2021,"Hermosa casa en condominio  nueva en cerrada.  Condominio de 6 casasDe estilo moderno, muy iluminada, ventanales de piso a  techo.En 3 niveles cuenta con 5 recamaras, 4.5 baños, sala comedor, cocina integral, balcón, cuarto de servicio. 7 lugares de estacionamientoVigilancia 24 hrs. EasyBroker ID: EB-GS1884",https://www.lamudi.com.mx/casa-nueva-en-condominio-2da-cda-san-jeronimo-lomas-quebradas.html
1326,3,3,6,400,4,casa,,"[-99.2249857,19.4225929]",598,46000000,HO609DD5367AAFEMX,"[""casa"",""casa-unifamiliar""]",2021,"La propiedad fue completamente remodelada hace algunos años y a partir de ahí el mantenimiento ha sido exhaustivo, cuidando cada detalle que hace verla como si la remodelación hubiese sido ayer. La Planta baja está revestida en mármol poblano y duela de Tzalam; cuenta con persianas eléctricas y sistema de audio Creston con bocinas Bosé en el jardín, así como una iluminación exterior que le quitará el aliento.  La planta alta fue revestida con piso de madera de Encino Americano además del ya predominante mármol poblano que le da un aire moderno que ayuda a contrastar el excelente gusto de sus actuales propietarios. No pierda mas tiempo y llámenos hoy mismo para agendar su cita, que no se la ganen!Fotografía a cargo de la empresa www.spothaus.mx ó bien @spothaus en InstagramPrecios y disponibilidades sujetos a cambio sin previo aviso. EasyBroker ID: EB-HM4128",https://www.lamudi.com.mx/casa-en-sierra-guadarrama-en-venta-col-lomas-de-chapultepec-cdmx.html
1327,3,3,6,317,0,casa,,"[-99.22641,19.32602]",440,11400000,HO5BEF8BAA23035MX,"[""casa"",""casa-unifamiliar""]",1991,"Te gustaría  disfrutar vistas arboladas para sentirte fuera de la ciudad, casa actualizada, condominio arbolado, con vigilancia. Su concepto es ecológico ya que tiene sistema de calentamiento de agua y energía eléctrica con paneles solares, lámparas solares en exterior, iluminación interior con leeds, esto te generará un gran ahorro. Agradable jardín para convivir con la familia y amigos, tiene family de buen tamaño, perfecto para reuniones de los hijos y tenerlos en casa,  muy iluminada. Ubicada a 6 minutos de la supervía con cuatro salidas para evitar tráfico y periférico cerca. La quieres conocer?",https://www.lamudi.com.mx/casa-en-venta-en-san-jeronimo-magdalena-contreras-420152.html
1328,3,3,6,315,3,casa,,"[-99.2595957,19.3385665]",273,13000000,HO5F117BE03C7F1MX,"[""casa"",""casa-unifamiliar""]",1987,"Increíble Casa en venta, dentro de área central de Villa Verdún, excelentes condiciones, amplios espacios e iluminación inigualable. 3 recamaras, 3 baños completos, más un medio baño, cuarto de servicio. Incluye un pequeño departamento de una recamara, con entrada independiente en la parte de abajo, cocina, baño completo, sala y comedor. Fraccionamiento 100% seguro con vigilancia las 24 hrs. 3 accesos al fraccionamiento. Excelente ubicación a solo 10 minutos de Santa Fe y a solo 3 minutos de la Super vía.AI. EasyBroker ID: EB-FI3090",https://www.lamudi.com.mx/increible-casa-en-cerrada-en-venta-dentro-del-area-de-villa-verdun.html
1329,4,4,8,1920,5,casa,,"[-99.21599,19.32258]",1920,8740000,HO5C4F9C10D476EMX,"[""casa"",""casa-unifamiliar""]",unknown,"Excelente oportunidad de propiedad para inversionistasCasa adjudicada ***Es remate bancario, no se aceptan creditos de ningun tipoEl pago es con recursos propios.Adquierala a un precio mucho menor de su precio comercial.",https://www.lamudi.com.mx/casa-en-nubes-jardines-del-pedregal-8-740-000-00.html
1330,5,4,unknown,290,2,casa,,"[-99.167668,19.389164]",292,9980000,HO5E39CDCEA5659MX,"[""casa"",""casa-unifamiliar""]",unknown,"Clave: 14c996  Casa de 1 nivel  292 m²de terreno 290 m²de construcción   $9,980,000 (nueve millones novecientos ochenta mil pesos 00/100 m.n)   Características:  -4 recámaras -5 baños -cocina -sala -comedor -estacionamiento -jardín -cisterna -roof garden de 115 m2 -terraza -elevador directo   ***escriturada ***todos los servicios",https://www.lamudi.com.mx/casa-de-1-nivel-en-venta-40.html
1331,4,3,7,396,3,casa,,"[-99.2363449,19.3448415]",428,14700000,HO60C9AE4FCF617MX,"[""casa"",""casa-unifamiliar""]",2021,"Magnifica Casa en venta en bonito fraccionamiento cerrado con excelente seguridad, desarrollada en dos plantas, Planta Baja: Acceso peatonal; garaje para 3 autos en desniveles, puertas eléctricas independientes; bodega, bomba, cisterna de 10,000 litros; entrada de servicio; entrada principal con fuente, hall recibidor, amplio comedor, sala en desnivel con chimenea y salida a precioso jardín con asador central, cocina integral con barra e isla de granito con antecomedor, escalera hacia abajo al cuarto de chofer con baño completo y escalera hacia arriba al cuarto de lavado y cuarto de servicio con baño; Bonita cava, Family room, preciosa recamara principal con salida a al jardín y persianas eléctricas, amplio baño con 2 regaderas, doble tocador y vapor, amplísimo vestidor. Baño de visitas en desnivel hacia arriba Primer piso: Cuarto de televisión abierto, Segunda recamara con vestidor y baño, y tercera recamara con walk in closet y baño Todas las recamaras cuenta con aire acondicionado (mini Split) Remodelada totalmente hace 5 años 21 años de edad 800 pesos mensuales de cuota al fraccionamiento PRECIO $14,700,000.00. EasyBroker ID: EB-HT2273",https://www.lamudi.com.mx/casa-en-venta-3-recamaras-3-banos-grullas-alvaro-obregon.html
1332,3,4,unknown,350,3,casa,,"[-99.23849,19.38302]",350,3250000,HO60D0D40324544MX,"[""casa"",""townhouse""]",unknown,"Remate bancario unicamente recursos propios, entrega fisica de la propiedad garantizada bajo contrato, cesion de derechos y escrituracion ante notario publico. Somos la empresa lider en recuperacion bancaria, broker unico de los 4 principales banco de mexico, agenda tu cita hoy y veras que somos la mejor opcion para tu inversion.  Casa en condominio cerrado con seguridad 24/7, 350m2 de terreno, cocina integral, area de lavado, cuarto de servicio, estancia, sala, comedor, sala de tv o estdio, 4 habitaciones con closet, 3 baños, habitacion principal con baño completo y vestidor, habitacion 2 y 3 comparten baño completo. Estricta seguridad para ingresar al condominio.  Agenda tu cita hoy... Dejaras pasar esta oportunidad???  Gustavo ceja Asesor inmobiliario  Llamadas y whats app4",https://www.lamudi.com.mx/tu-casa-en-santa-fe-a-un-precio-inmejorable.html
1333,5,5,unknown,600,1,casa,,"[-99.24536,19.40221]",704,8547693,HO60D332A232544MX,"[""casa"",""casa-unifamiliar""]",unknown,"¡¡¡¡¡¡¡ Excelente oportunidad ¡¡¡¡¡¡¡  Distribución aproximada 5 recámaras 5 baños Sala comedor cocina 1 estacionamiento Remate bancario que proviene de un listado de propiedades recuperadas por el banco - los inmuebles se encuetran entre un 50 y 70% por debajo de su valor comercial. - obtén hasta un 70% de utilidad de inversión - excelente oportunidad de inversión o para habitar. ¡¡ pago de cesión ante notario público ¡¡ Total $8,547,693.25  * se adquiere únicamente con recursos propios *",https://www.lamudi.com.mx/hermosa-casa-en-bosques-de-las-lomas-13.html
1334,2,4,unknown,120,2,casa,,"[-99.1551099,19.3869695]",95,1361225,HO5DC9F26680A79MX,"[""casa"",""casa-unifamiliar""]",unknown,"¡¡excelente oportunidad!!*garantía hipotecaria noliquidada por el deudor o también llamado remate bancario.*no se aceptan créditos de ningún tipo, pago con recursos propios.*ahórrate hastaun 60% del valor comercial.*propiedad en excelente ubicación y aumentando su plusvalía.*somos empresa constituida.*su inversióngarantizadabajo contrato. *firma decesión ante juez ynotario público.¡¡llame hoy mismo para agenda su cita conocernos y a clarar dudas!!",https://www.lamudi.com.mx/venta-departamento-en-remate-en-colonia-narvarte-del-benito-juarez-cdmx.html
1335,4,3,7,180,2,casa,,"[-99.1277812,19.5019066]",140,5990000,HO606CB995E310DMX,"[""casa"",""casa-unifamiliar""]",1990,"VENTA DE CASA EN COL. LINDAVISTA, VIGILANCIA, CUENTA CON 2 PLANTAS, 3 HABITACIONES (LA PRINCIPAL CON VESTIDOR), SALA, COMERDOR, COCINA AMUEBLADA, 3 BAÑOS COMPLETOS, 1 MEDIO BAÑO, CUARTO DE SERVICIO, PATIO TRASERO Y GARAGE PARA 2 AUTOS. EXCELENTE UBICACIÓN A 5 MINUTOS DE RIO DE LOS REMEDIOS Y A 3 MINUTOS AL IPN, CERCA DE CENTROS COMERCIALES.",https://www.lamudi.com.mx/casa-sola-en-venta-en-lindavista-norte-gustavo-a-madero-1.html
1336,2,3,unknown,250,2,casa,,"[-99.2221589,19.3661928]",204,1293000,HO60EF1AD812FB6MX,"[""casa"",""casa-unifamiliar""]",unknown,"Por favor lee todas las condiciones de la descripcion vigente desde el miercoles, 21 de abril 2021 te damos atencion en persona, solo haz una cita características:sala,comedor y cocina ,2 baños,3 recamaras ,2 estacionamiento, terreno 204 m2, construccion 250 m2. el costo total es de $1,293,000.00 mxn dividido en dos pagos primer pago $330,000.00 segundo y ultimo pago $963,000.00 _______informacion importante_______ -solo recursos propios. - entrega bajo contrato. *inmuebles solo para personal inversionista. * el costo de la escritura no se incluye en el costo. citas en cel:/whatsapp 5581002840 y al correo:joseantoniotejedagonzalez@gmail.com informes y ventas broker sr. Antonio tejeda gonzalez l.n.v.",https://www.lamudi.com.mx/amplia-casa-en-venta-alvaro-obregon.html
1337,4,4,4,689,0,casa,,"[-99.2120026,19.3226945]",441,27000000,HO601455EABA4C9MX,"[""casa"",""casa-en-condominio""]",2021,"Preciosa casa en condominio de 12 casas, en el corazón del Pedregal de San Ángel, rigurosa vigilancia las 24 horas, la casa cuenta con : Sala, comedor muy amplios con vista al jardín, sala te TV muy acogedora, para disfrutar en familia, cocina integral muy amplia e iluminada, con una gran despensa, 4 habitaciones con baño y vestidor, un lindo Jardín grande y privado, además un área que puede ser salón de juegos, o consultorio, ya que tiene entrada independiente, una maravillosa Cava, para tener por lo menos 1000 deliciosos vinos.  No se la puede perder, excelente!",https://www.lamudi.com.mx/casa-en-condominio-venta-lluvia-jardines-del-pedregal.html
1338,2,3,unknown,300,2,casa,,"[-99.21732,19.35183]",294,4200000,HO5F04DCB15C1CBMX,"[""casa"",""casa-unifamiliar""]",unknown,"Bonita casa en venta!!! ""remate bancario"" $ 4,200,000.00 El pago es de contado (en dos exhibiciones), esta muy por debajo de su valor comercial, no se acepta ningún tipo de crédito; excelente zona, cerca de avenidas principales. Su inversión esta garantizada bajo contrato y ante notario publico. Somos una empresa líder en el tema de remates bancarios! Contamos con una cartera de más de 50,0000 propiedades Contáctame para mayor información o bien para agendar una cita.",https://www.lamudi.com.mx/casa-en-venta-colonia-villa-verdun-alvaro-obregon-4-200-000.html
1339,2,4,6,950,4,casa,,"[-99.2097426,19.4192059]",758,3000000,HO60F281E108B89MX,"[""casa"",""casa-unifamiliar""]",2009,"Aproveche esta extraordinaria residencia !! Cuenta con amplios espacios, muy bien iluminada e impecable estado. Se encuentra en una de las mejores calles de las lomas, zona  tranquila, arbolada, en el virreyes, a unos minutos del periférico y prado norte , fácil acceso a las principales vialidades: Reforma, Constituyentes y Palmas. La cas es de estilo Colonial. en la planta baja, la casa tiene un gran recibidor con espectaculares escaleras, amplio comedor, sala y además, un despacho con baño, cocina recién remodelada, antecomedor, lavandería con patio y bodega. Cuenta con un hermoso jardín que rodéala casa, baño para visitas y garaje para cuatro autos.  En la planta alta, cuenta con cuatro recámaras: la principal con un oratorio u oficina espaciosa,  dos baños completos y closets muy  amplios.  UNICA EN LA ZONA!  Tambien se puede rentar en 10,000 usd. EasyBroker ID: EB-HZ7005",https://www.lamudi.com.mx/venta-exclusiva-residencia-en-lomas-virreyes-3.html
1340,4,4,8,383,3,casa,,"[-99.1802107,19.3605675]",266,26765000,HO5CDD234B9DB0EMX,"[""casa"",""casa-en-condominio""]",2021,"En excelente ubicación, acabados de lujo y excelentes espacios. Cuentan en la planta baja: sala, comedor, cocina con amplia alacena, cuarto de TV, baño de visitas, pérgola y jardín. Segunda planta: 3 recámaras, la principal con super vestidor y baño, las otras dos con closet y baño. Tercera planta: 4ta recámara con baño y closet. Pérgola y jardín Estacionamiento para 3 o 4 autos. EasyBroker ID: EB-DC3460",https://www.lamudi.com.mx/florida-el-cedro-residencial-exclusivas-residencias-con-jardin-y-rg-privado.html
1341,3,4,unknown,250,3,casa,,"[-99.24124,19.31563]",200,4562000,HO5F442569E7681MX,"[""casa"",""casa-unifamiliar""]",unknown,"¡¡¡Inmueble de recuperación bancaria en etapa de adjudicación!!! Propiedad muy bien ubicada, vías de comunicación, céntrica, zona de gran plusvalía. Valor comercial de $ 6,450,000.00 Adquiérela a tan sólo $4,562,000.00 Resérvala con sólo $350,000.00 Inmejorable ubicación Únicamente se puede adquirir con recursos propios, **no se aceptan creditos; solo pago de contado** Trámites ante notario. El precio ya incluye la gestoría legal y administrativa. Beneficios de nuestras propiedades * precio de un 30% y hasta un 70% muy por debajo de su valor comercial. * tu inversión está 100% garantizada por escrito. * Para mayor información agenda cita en nuestras oficinas. **somos una empresa con más de 10 años de experiencia dedicada a la comercialización de recuperaciones bancarios**",https://www.lamudi.com.mx/casa-en-venta-en-magdalena-contreras-lomas-quebrada.html
1342,3,4,unknown,600,2,casa,,"[-99.22132,19.3376]",200,1134356,HO606CA87FBA77CMX,"[""casa"",""casa-en-condominio""]",unknown,"Remate de amplia y bonita casa de 3 pisos en exclusivo fraccionamiento frente a la comer olivar de los padres, seguridad las 24 horas y vialidades principales, a 5 minutos de televisa san angel, zona con muy alta plusvalia. Cuenta con: * 200 m2 de superficie y 600 m2 de construccion * 4 habitaciones * 3 baños * 2 estacionamientos Y todas las amenidades, sin duda tu mejor opción no la puedes dejar pasar. Valor comercial aproximado: $ 4.7 millones? Precio remate: $ 1,134,356.- **pago con recursos propios**. No se aceptan créditos hipotecarios (usted puede solicitar un crédito personal con su financiera de preferencia, banco, sofom, etc., pero nosotros requerimos el pago de contado para poderle hacer entrega del inmueble). Con la mayor plusvalía y con un costo muy por debajo del valor comercial (aprox. 60% por debajo del valor comercial). Ya sea que la quieras para habitar, rentar o vender a su valor comercial, invierte tu dinero con el mejor rendimiento. No te arriesgues. Entrega garantizada o se devuelve tu inversión. Más de 11 años de experiencia nos respaldan. Informes: Lic. Ivan casado. Cel.  Whats app:",https://www.lamudi.com.mx/remato-casa-en-exclusivo-fraccionamiento-frente-a-la-comer-olivar-de-los-padres.html
1343,3,3,12,264,3,casa,,"[-99.175913,19.397237]",264,12899999,HO5F6D4A76ADC29MX,"[""casa"",""casa-unifamiliar""]",2015,"Aprovecha ésta Increíble oportunidad de vivir en un lugar único y exclusivo en la ciudadLocalizado en una de las mejores colonias: Nápoles que se ha convertido en un escenario atractivo para los empresarios, contando en su geografía con los proyectos urbanos como Polyforum y el World Trade Center (WTC).El proyecto nace de la idea de crear un océano azul en un mar contaminado, que se distingue de lo habitual cambiando la percepción del entorno. Su excepcional diseño en Townhouses define la diferencia entre cada piso, desde la fachada hasta el Roof Garden, sin despojar el diálogo de un área con la otra, atribuida por la clase, innovación y elegancia que hacen del desarrollo un oasis en la ciudad convirtiéndolo no solo en un único lugar para vivir sino también una excelente inversión.El WTC, es un gran coloso símbolo que identifica a nuestra Ciudad y uno de los edificios más impresionantes del mundo. La Nápoles es conocida por sus numerosos parques, amplias calles y su crecimiento comercial vanguardista. Con una excelente comunicación en vías principales como Avenida Insurgentes Sur • Viaducto Miguel Alemán • Río Becerra • División del Norte.Características: CASA B264M² TotalesComedorCocina con acabados de lujoMedio baño de visitasSala de TV3 lugares de estacionamiento3 Habitaciones con vestidor y baño completoChapas biométricas para una mayor seguridadCalle tranquila, amplia y de doble sentido de circulaciónJardín y Roof Garden privado con barra y asador en cada TownhouseTownHouse en condominio de tres niveles con acabados de lujoa elección del clienteEstudio con opción a gimnasioCuarto de servicioBalcónJacuzziAlturas libres de 2.65m a 3.55m para dar un mayor confortExcelente ubicación a 2 calles del World Trade CenterTownhouse inteligente con Privacidad excepcionalEstudio con opción a gimnasio ó 4ta recámara, cuenta con closet y baño completoQuieres conocer el lugar? CONTÁCTAME Y CON GUSTO TE ATENDERÉ!!",https://www.lamudi.com.mx/se-vende-casa-en-condominio-townhouse-colonia-napoles-alcaldia-benito-juarez-ciudad-de-mexico-en-12-900-000.html
1344,3,4,7,206,3,casa,,"[-99.2353041,19.3187784]",0,7800000,HO60C84F9C85F1CMX,"[""casa"",""casa-en-condominio""]",2021,"Excelente casa en condominio de 206m2 de Construcción y 116m de terreno,   4 recamaras grandes una master suite con terraza y baño amplio con tina y regadera, 3 baños completos y medio baño de visitas, cuarto de servicio con baños, sala comedor amplia, cocina integral con amplia alacena, 3 lugares de estacionamiento, vigilancia, jardín común. EasyBroker ID: EB-HS8085",https://www.lamudi.com.mx/venta-o-renta-de-casa-en-san-jeronimo.html
1345,4,3,7,480,4,casa,,"[-99.2591381,19.3305054]",994,1500000,HO5ABC4B5420E27MX,"[""casa"",""casa-unifamiliar""]",1989,"Hermosa casa en venta en Rancho San Francisco. La recámara la  principal con salida a  bello jardín, cuarto estudio y 2 recámaras en segundo piso, la casa cuenta con pisos de madera y cantera, amplia cocina con desayunador, comedor y sala con una vista increíble al jardín, terraza techada y 4 lugares de estacionamiento. EasyBroker ID: EB-BK0186",https://www.lamudi.com.mx/casa-en-venta-en-rancho-san-francisco-alvaro-obregon.html
1346,2,3,unknown,228,3,casa,,"[-99.22641,19.33809]",190,3000000,HO5FAB7DA35034FMX,"[""casa"",""casa-unifamiliar""]",unknown,"¡ Excelente oportunidad! Incrementa tu inversión, adquiere una propiedad por debajo de su valor , entrega a mediano plazo. Sólo se aceptan recursos propios. Agenda cita para un trato personalizado.    Mio l021020/1/a26",https://www.lamudi.com.mx/casa-en-venta-san-jose-del-olivar-alvaro-obregon.html
1347,3,3,6,400,4,casa,,"[-99.2245237,19.3271667]",500,15997000,HO60A3621579876MX,"[""casa"",""casa-en-condominio""]",2021,Exclusivo condominio de 3 lujosas casas ubicadas en la Colonia San Jerónimo con vistas hacia el bosque.  500m2 de terreno  400m2 de construcción  Jardín privado  Roof garden  3 recamaras con vestidor y baño  cocina  sala y comedor con doble altura  sala de t.v.  estudio-oficina y terraza  vigilancia 34hrs y sistema e circuito cerrado  4 estacionamientos El precio es más acabados. EasyBroker ID: EB-HN3318,https://www.lamudi.com.mx/casa-en-venta-en-la-mejor-calle-de-san-jeronimo.html
1348,2,3,unknown,180,1,casa,,"[-99.06355,19.45271]",100,2336000,HO5F4FBEF0D2641MX,"[""casa"",""casa-unifamiliar""]",unknown,"Excelente oportunidad de inversión a través de una recuperación bancaria. ¡¡sólo pago de contado!! Ubicación de fácil acceso, vías de comunicación principales; transporte público, escuelas, hospitales y centros comerciales cercanos. Adquiere una propiedad por debajo de su valor comercial. Contamos con amplia experiencia, los inmuebles se encuentran entre un 30% y un 50% por debajo de su valor comercial.",https://www.lamudi.com.mx/casa-en-venta-en-san-juan-de-aragon-gustavo-a-madero-6.html
